,X,Y,Z
1143,728747.7765388929,4373705.696763894,5.885096997022629
1144,728747.7780391662,4373705.688929661,5.882758239284158
1145,728747.7762056015,4373705.689168197,5.877572930417955
1146,728747.7744562885,4373705.689178624,5.869686822406948
1147,728747.7713675614,4373705.68880981,5.863116002641618
1148,728747.7709069942,4373705.69081233,5.8678052350878716
1149,728747.7702864043,4373705.6878820155,5.8647540444508195
1150,728747.7710342498,4373705.688357613,5.864925131201744
1151,728747.7692719584,4373705.686750112,5.8613272700458765
1152,728747.7676756068,4373705.685347194,5.865842970088124
1153,728747.7662404807,4373705.689502123,5.860329333692789
1154,728747.7692250188,4373705.686865871,5.860899977385998
1155,728747.771000504,4373705.686523491,5.858469032682478
1156,728747.7715606594,4373705.68561905,5.86299304664135
1157,728747.7696305055,4373705.688396105,5.85750035289675
1158,728747.7694022167,4373705.688836306,5.857973653823137
1159,728747.7691580609,4373705.688636218,5.8534927954897285
1160,728747.7701785971,4373705.689497292,5.859972823411226
1161,728747.7685354108,4373705.689875777,5.858512538485229
1162,728747.7699659816,4373705.689185685,5.8591181337833405
1163,728747.7696404918,4373705.692416773,5.85767269320786
1164,728747.770334013,4373705.690697528,5.860327960923314
1165,728747.7855621912,4373705.689797616,5.8550818944349885
1166,728747.9776940463,4373705.670116017,5.852849625051022
1167,728748.588004881,4373705.635898124,5.858730767853558
1168,728749.7306238452,4373705.632700791,5.860652073286474
1169,728751.4935481792,4373705.72935009,5.854661890305579
1170,728753.8049805644,4373706.03007731,5.85473932698369
1171,728756.418035803,4373706.603850219,5.860842498019338
1172,728759.084683744,4373707.441499091,5.890032805502415
1173,728761.8284075771,4373708.59337492,5.912207329645753
1174,728764.564506576,4373710.06163428,5.953414465300739
1175,728767.244636023,4373711.869993383,5.988637701608241
1176,728769.8902967595,4373713.9319372205,5.967827525921166
1177,728772.6685066497,4373715.516867573,5.968992315232754
1178,728775.3427387646,4373717.748445776,5.936098902486265
1179,728778.260176786,4373719.222201087,5.900194248184562
1180,728781.3936774174,4373720.142924913,5.897372257895768
1181,728784.6948159115,4373720.408393834,5.903675860725343
1182,728788.0521281601,4373719.965078737,5.923832239583135
1183,728791.6141119687,4373719.025827285,5.916225821711123
1184,728795.5289370548,4373717.913819615,5.951226609759033
1185,728799.8136615782,4373716.6094661085,5.947725396603346
1186,728804.3528646287,4373715.097060447,5.950276446528733
1187,728809.0330513724,4373713.439796308,5.945549013093114
1188,728813.7466680338,4373711.763693853,5.9503568690270185
1189,728818.5310197561,4373710.125792723,5.9651570450514555
1190,728823.4161408828,4373708.491755153,5.982182483188808
1191,728828.5026497979,4373706.823205362,5.990699520334601
1192,728833.7795668233,4373705.073301814,6.015950955450535
1193,728839.2211204893,4373703.238500583,6.040335848927498
1194,728844.8228077515,4373701.365117317,6.0448333797976375
1195,728850.5391794612,4373699.427153992,6.060107791796327
1196,728856.3608546862,4373697.459937277,6.07690370734781
1197,728862.1634312585,4373695.471523127,6.090873017907143
1198,728867.9626184511,4373693.483078124,6.111076309345663
1199,728873.7506542832,4373691.4860622985,6.111759918741882
1200,728879.4206483727,4373689.565266496,6.130039356648922
1201,728885.0193113761,4373687.648913977,6.154885279946029
1202,728890.694533311,4373685.737659547,6.177643726579845
1203,728896.4931004918,4373683.768844247,6.184231734834611
1204,728902.5004443759,4373681.788744587,6.213104818016291
1205,728908.6867425388,4373679.7626715945,6.26147080399096
1206,728914.8706111066,4373677.706036885,6.258276369422674
1207,728921.1439355764,4373675.60410262,6.1916092755272985
1208,728927.5692798096,4373673.438697542,6.1374714858829975
1209,728934.1548462727,4373671.1782263955,6.105254017747939
1210,728940.8296631328,4373668.856894681,6.092437468469143
1211,728947.5315672153,4373666.573401109,6.0925197172909975
1212,728954.3253286434,4373664.304737914,6.07217604201287
1213,728961.2194517442,4373661.999332625,6.000920385122299
1214,728968.1848037547,4373659.663886639,5.984939822927117
1215,728975.1699786624,4373657.341365755,5.951425531879067
1216,728982.1142668999,4373654.982182686,5.887756994925439
1217,728989.0023032936,4373652.666307739,5.939412486739457
1218,728995.8080893627,4373650.27693935,5.929888849146664
1219,729002.6171085429,4373647.964086014,5.930977060459554
1220,729009.3691110979,4373645.656260767,5.885168302804232
1221,729016.164129039,4373643.428761127,5.886534865945578
1222,729022.9566800398,4373641.200617443,5.831496992148459
1223,729029.7228909053,4373638.954874774,5.815383769571781
1224,729037.1967450887,4373635.891659909,5.819622157141566
1225,729043.1713415973,4373634.295418502,5.82169502414763
1226,729049.8633759496,4373632.019947122,5.788579466752708
