2022 10 20   15 39  0.700  -0.236  -0.202  -9.839   -0.007349    0.050691    0.077326    1.682865   -1.248618   24.482690   39.48146500   -0.33661300    59.850
2022 10 20   15 39  0.720  -0.302  -0.454  -9.704    0.022681    0.011905    0.040700    1.683353   -1.249002   24.482154   39.48146500   -0.33661300    59.850
2022 10 20   15 39  0.740  -0.212  -0.105  -9.839    0.019855    0.012526    0.075056    1.684025   -1.248742   24.482152   39.48146500   -0.33661300    59.850
2022 10 20   15 39  0.760  -0.306  -0.371  -9.813   -0.029898    0.094328    0.072910    1.683064   -1.248173   24.484534   39.48146500   -0.33661300    59.850
2022 10 20   15 39  0.780  -0.216  -0.325  -9.663    0.083198    0.014181    0.054831    1.684764   -1.247960   24.484644   39.48146500   -0.33661300    59.850
2022 10 20   15 39  0.800  -0.232  -0.148  -9.923   -0.034521   -0.022901    0.071257    1.684610   -1.248989   24.484739   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.820  -0.293  -0.472  -9.752    0.059618    0.132931    0.049280    1.685285   -1.246866   24.484254   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.840  -0.162  -0.163  -9.733    0.013442   -0.023244    0.088792    1.686141   -1.248164   24.484543   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.860  -0.304  -0.363  -9.898   -0.045055   -0.035339    0.026454    1.684347   -1.250344   24.482846   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.880  -0.251  -0.352  -9.736   -0.017956    0.107266    0.072062    1.684265   -1.248019   24.483192   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.900  -0.208  -0.115  -9.813   -0.030399    0.005863    0.083657    1.683828   -1.248800   24.483631   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.920  -0.298  -0.503  -9.746   -0.010043    0.056467    0.041875    1.683798   -1.248717   24.483341   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.940  -0.199  -0.107  -9.836   -0.019537    0.016742    0.099360    1.683643   -1.247784   24.483810   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.960  -0.290  -0.317  -9.827   -0.026808    0.086074    0.077650    1.683138   -1.247908   24.485822   39.48146500   -0.33661300    59.820
2022 10 20   15 39  0.980  -0.244  -0.383  -9.643   -0.001691   -0.007261    0.033586    1.683658   -1.248543   24.485070   39.48146500   -0.33661300    59.820
2022 10 20   15 39  1.000  -0.241  -0.084  -9.913   -0.016408   -0.026105    0.106429    1.683744   -1.249245   24.486213   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.020  -0.300  -0.478  -9.762    0.040809    0.167799    0.047638    1.684208   -1.246605   24.486110   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.040  -0.179  -0.136  -9.709   -0.030545    0.009706    0.113099    1.684069   -1.246943   24.486520   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.060  -0.289  -0.277  -9.920   -0.022357   -0.027331    0.037863    1.683645   -1.248924   24.478286   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.080  -0.260  -0.362  -9.722    0.025427    0.089593    0.041522    1.684809   -1.247086   24.478081   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.100  -0.194  -0.083  -9.804    0.022121   -0.023104    0.074157    1.685131   -1.248690   24.478283   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.120  -0.295  -0.496  -9.772    0.047928    0.019371    0.052766    1.685978   -1.248722   24.478158   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.140  -0.209  -0.160  -9.790    0.011868    0.064974    0.091114    1.686487   -1.247501   24.478558   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.160  -0.287  -0.305  -9.854    0.001239    0.061607    0.097550    1.686553   -1.247849   24.479429   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.180  -0.231  -0.426  -9.649    0.003328    0.028168    0.058026    1.686745   -1.247732   24.479191   39.48146500   -0.33661200    59.796
2022 10 20   15 39  1.200  -0.260  -0.087  -9.952   -0.020482   -0.006538    0.099683    1.686407   -1.248153   24.480260   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.220  -0.280  -0.495  -9.725    0.008515    0.144906    0.064124    1.686382   -1.245634   24.480370   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.240  -0.192  -0.148  -9.725   -0.041578   -0.012361    0.099399    1.685668   -1.246578   24.480834   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.260  -0.294  -0.338  -9.936    0.017681   -0.008140    0.052177    1.685967   -1.248523   24.472583   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.280  -0.258  -0.348  -9.696   -0.029617    0.140797    0.066550    1.685527   -1.245575   24.472607   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.300  -0.219  -0.104  -9.826    0.030252   -0.025076    0.106348    1.686346   -1.247038   24.473522   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.320  -0.286  -0.513  -9.726   -0.039642    0.052152    0.008475    1.686042   -1.246821   24.472595   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.340  -0.215  -0.087  -9.817    0.011983    0.034775    0.078321    1.686228   -1.245710   24.473090   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.360  -0.244  -0.354  -9.841   -0.040975    0.091431    0.034491    1.685692   -1.245805   24.468471   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.380  -0.225  -0.349  -9.676   -0.033018    0.000954    0.018425    1.684613   -1.246256   24.467314   39.48146500   -0.33661200    59.765
2022 10 20   15 39  1.400  -0.231  -0.103  -9.937   -0.016924   -0.069198    0.077630    1.684709   -1.247803   24.468034   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.420  -0.293  -0.458  -9.757   -0.058025    0.124090    0.034682    1.683893   -1.246346   24.467816   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.440  -0.177  -0.148  -9.732    0.008823   -0.039335    0.092468    1.683862   -1.247568   24.467824   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.460  -0.280  -0.282  -9.912   -0.024117   -0.020326    0.035947    1.684529   -1.249160   24.476355   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.480  -0.292  -0.357  -9.708    0.055337    0.072905    0.070002    1.685527   -1.247887   24.476000   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.500  -0.213  -0.099  -9.771    0.029824   -0.006498    0.097697    1.686615   -1.248614   24.476603   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.520  -0.349  -0.454  -9.736    0.064221   -0.008370    0.028084    1.687592   -1.250038   24.475851   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.540  -0.231  -0.207  -9.748    0.079028    0.037329    0.070868    1.688832   -1.248748   24.475954   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.560  -0.273  -0.275  -9.851   -0.094225    0.076822    0.046126    1.687387   -1.248825   24.476579   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.580  -0.253  -0.481  -9.700    0.007368    0.059997    0.081236    1.687155   -1.247563   24.476553   39.48146500   -0.33661200    59.749
2022 10 20   15 39  1.600  -0.203  -0.093  -9.958   -0.093971    0.030427    0.075922    1.686064   -1.247300   24.476871   39.48146500   -0.33661200    59.739
2022 10 20   15 39  1.620  -0.278  -0.446  -9.795   -0.033047    0.148706    0.033490    1.685012   -1.245231   24.476384   39.48146500   -0.33661200    59.739
2022 10 20   15 39  1.640  -0.165  -0.212  -9.717    0.003024    0.014815    0.054053    1.685535   -1.245015   24.475949   39.48146500   -0.33661200    59.739
